Row Labels,Sum of APR20,Sum of MAY20,Sum of JUN20,Sum of JUL20,Sum of AUG20,Sum of SEP20,Sum of OCT20,Sum of NOV20,Sum of DEC20,Sum of JAN21,Sum of FEB21,Sum of MAR21,Sum of APR21,Sum of MAY21,Sum of JUN21,Sum of JUL21,Sum of AUG21,Sum of SEP21,Sum of OCT21,Sum of NOV21,Sum of DEC21,Sum of JAN22,Sum of FEB22,Sum of MAR22,Sum of APR22,Sum of MAY22,Sum of JUN22,Sum of JUL22
"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abilene, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",222006,203535,222161,231375,240618,262951,281726,246445,238847,229603,222423,280082,270011,255775,264621,263142,291693,360190,361071,328769,302876,280906,305308,360079,341105,331705,323638,34827
"Albany, GA",27403,29017,39574,42439,45188,46185,54652,39212,30337,30854,29112,31941,29509,25540,26291,24472,31480,32381,31665,25394,20912,22722,897,1038,1020,,,
"Albany-Schenectady, NY",575380,728474,870604,1032740,993323,904524,909182,805303,765628,722760,712452,886016,890744,868772,870455,893505,947410,1111747,1123831,1032346,979749,851059,895379,1124289,,,,
"Albuquerque, NM",321759,312922,345066,380114,343849,360051,389576,303708,285040,284061,283711,372946,377303,368399,399560,433362,438709,434283,487264,458996,425689,458579,439984,503705,473996,518203,538065,568741
"Alexandria, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allentown, PA-NJ",150063,184232,233366,248050,247987,250897,262665,228461,209386,212436,169304,251455,240076,233735,232945,233008,224895,230489,258982,239646,244024,206248,221677,265281,268616,277921,278607,240992
"Altoona, PA",18379,21598,26387,25375,24696,30346,33649,26150,22530,20764,20970,30353,31324,28040,25954,30843,35046,39468,40075,37825,35619,33883,35264,42041,40153,36789,28684,
"Amarillo, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ames, IA",23143,26614,32959,32514,188703,236608,236142,163937,39026,115317,261304,274971,226701,74003,62805,57229,256236,486222,449085,360450,233178,284575,462800,390474,419582,235603,91246,
"Anchorage, AK",53780,16863,137226,170584,159580,155445,156386,127576,142361,142712,144818,173671,187274,190576,249080,254032,259842,214420,200246,166323,177175,171712,176780,225809,233911,258165,308806,298030
"Anderson, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ann Arbor, MI",109400,104743,140853,167463,227958,296601,283510,220471,189965,214460,218802,260711,253408,222402,242086,258273,407584,992258,795218,779189,523348,753768,728556,816180,718742,406481,422400,269325
